RGB,R,G,B
"(254, 255, 210)",254,255,210
"(255, 238, 169)",255,238,169
"(255, 191, 120)",255,191,120
"(255, 125, 41)",255,125,41
"(255, 253, 181)",255,253,181
"(111, 220, 227)",111,220,227
"(92, 136, 196)",92,136,196
"(92, 47, 194)",92,47,194
"(255, 0, 0)",255,0,0
"(255, 162, 127)",255,162,127
"(255, 232, 197)",255,232,197
"(151, 190, 90)",151,190,90
"(255, 166, 47)",255,166,47
"(255, 201, 111)",255,201,111
"(255, 232, 200)",255,232,200
"(172, 215, 147)",172,215,147
"(195, 255, 147)",195,255,147
"(255, 219, 92)",255,219,92
"(255, 175, 97)",255,175,97
"(255, 112, 171)",255,112,171
"(255, 251, 218)",255,251,218
"(255, 236, 158)",255,236,158
"(255, 187, 112)",255,187,112
"(237, 148, 85)",237,148,85
"(255, 128, 128)",255,128,128
"(255, 207, 150)",255,207,150
"(246, 253, 195)",246,253,195
"(205, 250, 213)",205,250,213
"(111, 78, 55)",111,78,55
"(166, 123, 91)",166,123,91
"(236, 177, 118)",236,177,118
"(254, 216, 177)",254,216,177
"(108, 3, 69)",108,3,69
"(220, 107, 25)",220,107,25
"(247, 197, 102)",247,197,102
"(255, 248, 220)",255,248,220
"(67, 118, 108)",67,118,108
"(248, 250, 229)",248,250,229
"(177, 148, 112)",177,148,112
"(118, 69, 59)",118,69,59
"(255, 255, 236)",255,255,236
"(241, 228, 195)",241,228,195
"(198, 169, 105)",198,169,105
"(89, 126, 82)",89,126,82
"(95, 111, 82)",95,111,82
"(169, 179, 136)",169,179,136
"(254, 250, 224)",254,250,224
"(185, 148, 112)",185,148,112
"(112, 98, 51)",112,98,51
"(176, 146, 106)",176,146,106
"(225, 199, 143)",225,199,143
"(250, 231, 201)",250,231,201
"(76, 75, 22)",76,75,22
"(137, 129, 33)",137,129,33
"(231, 177, 10)",231,177,10
"(247, 241, 229)",247,241,229
"(83, 131, 146)",83,131,146
"(98, 149, 162)",98,149,162
"(128, 185, 173)",128,185,173
"(179, 226, 167)",179,226,167
"(36, 7, 80)",36,7,80
"(52, 76, 100)",52,76,100
"(87, 123, 141)",87,123,141
"(87, 166, 161)",87,166,161
"(21, 52, 72)",21,52,72
"(60, 91, 111)",60,91,111
"(148, 137, 121)",148,137,121
"(223, 208, 184)",223,208,184
"(83, 86, 255)",83,86,255
"(55, 140, 231)",55,140,231
"(103, 198, 227)",103,198,227
"(223, 245, 255)",223,245,255
"(220, 242, 241)",220,242,241
"(127, 199, 217)",127,199,217
"(54, 84, 134)",54,84,134
"(15, 16, 53)",15,16,53
"(238, 245, 255)",238,245,255
"(180, 212, 255)",180,212,255
"(134, 182, 246)",134,182,246
"(23, 107, 135)",23,107,135
"(22, 72, 99)",22,72,99
"(66, 125, 157)",66,125,157
"(155, 190, 200)",155,190,200
"(221, 242, 253)",221,242,253
"(239, 156, 102)",239,156,102
"(252, 220, 148)",252,220,148
"(200, 207, 160)",200,207,160
"(120, 171, 168)",120,171,168
"(255, 222, 149)",255,222,149
"(173, 216, 153)",173,216,153
"(188, 90, 148)",188,90,148
"(240, 117, 170)",240,117,170
"(255, 0, 0)",255,0,0
"(255, 162, 127)",255,162,127
"(255, 232, 197)",255,232,197
"(151, 190, 90)",151,190,90
"(195, 255, 147)",195,255,147
"(255, 219, 92)",255,219,92
"(255, 175, 97)",255,175,97
"(255, 112, 171)",255,112,171
"(255, 118, 206)",255,118,206
"(253, 255, 194)",253,255,194
"(148, 255, 216)",148,255,216
"(163, 216, 255)",163,216,255
"(250, 112, 112)",250,112,112
"(254, 253, 237)",254,253,237
"(198, 235, 197)",198,235,197
"(161, 195, 152)",161,195,152
"(176, 197, 164)",176,197,164
"(211, 118, 118)",211,118,118
"(235, 196, 159)",235,196,159
"(241, 239, 153)",241,239,153
