Kabupaten,2018,2019,2020,2021,2022,2023
Cilacap," Rp1,841,209 "," Rp1,989,058 "," Rp2,158,327 "," Rp2,228,904 "," Rp2,230,731 "," Rp2,383,090 "
Banyumas," Rp1,589,000 "," Rp1,750,000 "," Rp1,900,000 "," Rp1,970,000 "," Rp1,983,261 "," Rp2,118,124 "
Purbalingga," Rp1,655,200 "," Rp1,788,500 "," Rp1,940,800 "," Rp1,988,000 "," Rp1,996,814 "," Rp2,130,981 "
Banjarnegara," Rp1,490,000 "," Rp1,610,000 "," Rp1,748,000 "," Rp1,805,000 "," Rp1,819,835 "," Rp1,958,170 "
Purworejo," Rp1,560,000 "," Rp1,686,000 "," Rp1,835,000 "," Rp1,895,000 "," Rp1,906,781 "," Rp2,035,890 "
Kebumen," Rp1,573,000 "," Rp1,700,000 "," Rp1,845,000 "," Rp1,905,400 "," Rp1,911,850 "," Rp2,043,902 "
Wonosobo," Rp1,585,000 "," Rp1,712,500 "," Rp1,859,000 "," Rp1,920,000 "," Rp1,931,285 "," Rp2,076,209 "
Magelang," Rp1,742,000 "," Rp1,882,000 "," Rp2,042,200 "," Rp2,075,000 "," Rp2,081,807 "," Rp2,236,777 "
Boyolali," Rp1,651,650 "," Rp1,790,000 "," Rp1,942,500 "," Rp2,000,000 "," Rp2,010,299 "," Rp2,155,712 "
Klaten," Rp1,661,632 "," Rp1,795,061 "," Rp1,947,821 "," Rp2,011,515 "," Rp2,015,623 "," Rp2,152,323 "
Sukoharjo," Rp1,648,000 "," Rp1,783,500 "," Rp1,938,000 "," Rp1,986,450 "," Rp1,998,153 "," Rp2,138,248 "
Wonogiri," Rp1,542,000 "," Rp1,655,000 "," Rp1,797,000 "," Rp1,827,000 "," Rp1,839,043 "," Rp1,968,448 "
Karanganyar," Rp1,696,000 "," Rp1,833,000 "," Rp1,989,000 "," Rp2,054,040 "," Rp2,064,313 "," Rp2,207,484 "
Sragen," Rp1,546,492 "," Rp1,673,500 "," Rp1,815,914 "," Rp1,829,500 "," Rp1,839,429 "," Rp1,969,569 "
Grobogan," Rp1,560,000 "," Rp1,685,500 "," Rp1,830,000 "," Rp1,890,000 "," Rp1,894,032 "," Rp2,029,569 "
Blora," Rp1,564,000 "," Rp1,690,000 "," Rp1,834,000 "," Rp1,894,000 "," Rp1,904,196 "," Rp2,040,080 "
Rembang," Rp1,535,000 "," Rp1,660,000 "," Rp1,802,000 "," Rp1,861,000 "," Rp1,874,322 "," Rp2,015,927 "
Pati," Rp1,585,000 "," Rp1,742,000 "," Rp1,891,000 "," Rp1,953,000 "," Rp1,968,339 "," Rp2,107,697 "
Kudus," Rp1,892,500 "," Rp2,044,467 "," Rp2,218,451 "," Rp2,290,995 "," Rp2,293,058 "," Rp2,439,814 "
Jepara," Rp1,739,360 "," Rp1,879,031 "," Rp2,040,000 "," Rp2,107,000 "," Rp2,108,403 "," Rp2,272,627 "
Demak," Rp2,065,490 "," Rp2,240,000 "," Rp2,432,000 "," Rp2,511,526 "," Rp2,513,005 "," Rp2,680,421 "
Semarang," Rp1,900,000 "," Rp2,055,000 "," Rp2,229,880 "," Rp2,302,798 "," Rp2,311,254 "," Rp2,480,988 "
Temanggung," Rp1,557,000 "," Rp1,682,027 "," Rp1,825,200 "," Rp1,885,000 "," Rp1,887,832 "," Rp2,027,569 "
Kendal," Rp1,929,458 "," Rp2,084,393 "," Rp2,261,775 "," Rp2,335,735 "," Rp2,340,312 "," Rp2,508,300 "
Batang," Rp1,749,900 "," Rp1,900,000 "," Rp2,061,700 "," Rp2,129,117 "," Rp2,135,535 "," Rp2,282,026 "
Pekalongan," Rp1,721,637 "," Rp1,859,885 "," Rp2,018,161 "," Rp2,084,155 "," Rp2,094,646 "," Rp2,247,346 "
Pemalang," Rp1,588,000 "," Rp1,718,000 "," Rp1,865,000 "," Rp1,926,000 "," Rp1,940,890 "," Rp2,081,783 "
Tegal," Rp1,617,000 "," Rp1,747,000 "," Rp1,896,000 "," Rp1,958,000 "," Rp1,968,446 "," Rp2,106,238 "
Brebes," Rp1,542,000 "," Rp1,665,850 "," Rp1,807,614 "," Rp1,866,723 "," Rp1,885,019 "," Rp2,018,837 "
Magelang," Rp1,580,000 "," Rp1,707,000 "," Rp1,853,000 "," Rp1,914,000 "," Rp1,935,913 "," Rp2,066,007 "
Surakarta," Rp1,668,700 "," Rp1,802,700 "," Rp1,956,200 "," Rp2,013,810 "," Rp2,035,720 "," Rp2,174,169 "
Salatiga," Rp1,735,930 "," Rp1,875,325 "," Rp2,034,915 "," Rp2,101,457 "," Rp2,128,523 "," Rp2,284,180 "
Semarang," Rp2,310,087 "," Rp2,498,587 "," Rp2,715,000 "," Rp2,810,025 "," Rp2,835,021 "," Rp3,060,349 "
Pekalongan," Rp1,765,178 "," Rp1,906,922 "," Rp2,072,000 "," Rp2,139,754 "," Rp2,156,213 "," Rp2,305,823 "
Tegal," Rp1,630,500 "," Rp1,762,000 "," Rp1,925,000 "," Rp1,982,750 "," Rp2,005,930 "," Rp2,145,012 "
